IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	
sample_41	-0.00581023	0.0119784	-0.0144983	0.0119645	-0.0193512	0.0158296	-0.0437945	-0.00243449	0.0161194	0.0127531
sample_42	-0.0085814	0.0177037	0.00811845	-0.0022589	-0.0086808	-0.000143873	0.00686931	-0.012196	-0.01263	-0.00383327
sample_43	0.0126664	-0.0214978	0.0249486	-0.00373072	-0.00832661	0.0110795	-0.000807094	0.00989535	0.0255601	-0.0182142
sample_44	-0.0139175	0.0370124	0.0188399	-0.00729282	-0.00215981	0.0412727	-0.0184502	-0.0454474	-0.0208925	0.0310453
sample_45	0.013409	0.00281136	-0.0105985	0.0196731	-0.00904321	0.0121334	-0.00366979	-0.0100001	-0.00158423	-0.0104564
sample_46	-0.0016863	-0.0327334	-0.00524677	0.0139694	0.0126067	-0.0109133	-0.0205508	0.0204817	0.0266177	-0.00654055
sample_47	-0.00707805	-0.00499859	-0.0223291	0.0179986	-0.00436613	0.0116459	-0.0283168	0.00342442	-0.00787107	0.0150699
sample_48	0.0280902	0.00493156	0.0107015	-0.0118955	-0.0215485	-0.00407469	0.0111282	-0.0101506	0.0182789	0.00700316
sample_49	-0.000829166	-0.0052932	-0.00112347	-0.00524039	0.00132481	-0.00699559	0.0102917	-0.00214637	-0.0110258	0.00516153
sample_50	-0.00982189	0.00341879	-0.039648	0.00281225	0.018019	0.0146971	0.0126601	-0.00970138	-0.00396847	0.00872805
sample_51	0.00709879	0.00441638	0.014586	0.00291189	0.0052174	-0.0292335	-0.0323599	-0.00938596	0.00751689	0.000535405
sample_52	-0.00504382	0.0194346	-0.0155364	0.0290254	0.00190267	0.00564584	0.00686246	-0.0177679	-0.0211435	0.000316944
sample_53	0.0101581	0.00302947	-0.0267383	-0.017097	-0.0114285	-0.0184149	-0.00896573	0.0177633	0.00717259	0.00463099
sample_54	-0.00054731	-0.00972507	-0.0111526	-0.0151501	-0.00214547	0.00544509	0.0133166	-0.00941231	-0.00513049	-0.0118876
sample_55	0.00445104	0.0218682	0.016867	0.00470507	-0.00774838	0.0136785	-0.0158394	-0.0180667	0.00962662	0.0279485
sample_56	-0.000548128	-0.009362	-0.00189604	-0.000136077	-0.0101058	-0.00923219	-0.0131091	-0.0018446	0.00843376	0.017397
sample_57	2.54481e-05	0.00168304	-0.0307652	-0.00964479	0.00527847	0.000890918	0.00444199	-0.0149757	0.00762922	0.0231905
sample_58	-0.00341333	0.0148402	-0.00352189	-0.000151294	0.00914076	0.00409221	-0.00255659	0.00223677	-0.00928572	0.00472933
sample_59	-0.00666427	0.00749876	-0.00712589	0.00401177	0.0156198	0.0172574	0.00828403	0.00922216	0.00503648	-0.00475378
sample_60	0.0209307	0.00507296	0.0148926	-0.00602802	0.0102345	-0.000255694	0.00972612	0.0073933	0.00634649	0.0113169
sample_61	-0.0113331	-0.00513944	-0.00228129	0.0180602	-0.0153417	-0.00438398	-0.0018901	0.00913189	-0.0144467	0.0113363
sample_62	-0.0069016	-0.00680852	0.0122643	0.00966883	0.00851827	-6.56103e-05	0.012632	0.0114229	0.0232884	0.00105641
sample_63	0.00456437	0.00843449	-0.00442848	-0.023091	0.00775486	0.00704789	-0.0213633	0.00750469	0.0129468	0.0177075
sample_64	-0.0164974	-0.0162997	0.0116166	0.00784031	0.00810099	0.00490181	0.0264422	0.00308195	0.0233825	0.0079156
sample_65	-0.0114572	-0.0113889	-0.0109981	0.0157336	0.011426	0.00266046	0.016905	-0.0125297	-0.00158843	0.004355
sample_66	0.00516901	-0.015051	-0.00239017	0.00148694	-0.00868061	-0.00154546	0.000324841	-0.0144523	0.0028889	0.00361677
sample_67	0.00543113	-0.0234773	-0.0121971	0.00423236	0.0155645	0.0007431	-0.00821242	0.0323466	-0.0217952	-0.0207851
sample_68	-0.0168821	-0.0212249	-0.037039	-0.00891121	0.0030936	0.0145601	0.03741	0.000686873	-0.00672624	0.000100269
sample_69	0.0371736	0.00720764	0.0517803	-0.0145994	-0.0116019	-0.0303566	0.00526899	-0.0429806	0.0138983	-0.0012126
sample_70	0.00700548	0.0478644	0.010703	0.0241248	0.00674348	0.0138918	0.00851752	0.00525066	-0.0306069	-0.0300416
sample_71	0.0037922	0.031603	-0.00385177	-0.00806835	-0.00278513	0.00491774	0.0157166	0.00139119	0.0220739	0.00527805
sample_72	-0.00247686	-0.0101065	-0.0130734	-0.0164686	-0.00911371	0.00614931	-0.00389541	-0.00737529	-0.0095084	-0.00288881
sample_73	0.018292	0.00874653	-0.00129429	0.0151333	-0.0113391	0.0118914	-0.0324588	0.00582699	-0.00273807	-0.000791405
sample_74	0.00181251	0.00763642	-0.000996233	0.00484239	0.009591	0.00455247	0.0105182	0.00502085	-0.00310976	-0.00890139
sample_75	0.00505483	0.0014118	0.00109793	-0.0111274	-0.0159966	0.00344588	-0.00556392	0.000588166	0.013965	0.001138
sample_76	-0.00584222	-0.000592396	0.030679	-0.00654403	0.0240216	-0.0166385	0.010026	0.0222782	-0.00900023	0.00952223
sample_77	-0.0134914	0.0159242	0.00891646	-0.00197947	-0.00573882	-0.0106102	0.00209534	0.00469525	0.00958894	-0.00103105
sample_78	0.0114294	0.00437194	-0.00842294	-0.00750557	0.0209495	-0.0184114	-0.00653427	-0.013433	0.023557	-0.0157696
sample_79	0.000448318	0.0112558	-0.0170131	-0.00302801	0.00412004	0.0172132	-0.00948318	-0.0269192	0.00398656	0.000799012
sample_80	-0.0195365	-0.00651423	0.00271433	0.0110356	-0.00730389	-0.0118017	0.0363073	-0.00326775	-0.0263334	-0.00537629
sample_81	-0.0225952	-0.0183715	0.00644012	-0.000241636	0.00630251	-0.000883227	0.00665925	-0.00863633	0.00713533	-0.00254366
sample_82	-0.00671004	-0.0119004	-0.00442753	-0.0109592	-0.00199632	0.00823678	0.0041862	-0.0221866	0.00825493	-0.00226481
sample_83	0.0151809	0.00944107	-0.00300364	0.0185684	0.00615239	0.000340412	-0.00670957	0.0106955	-0.00681384	0.0132172
sample_84	0.00525851	-0.000598424	0.00138164	-0.0110737	-0.00467202	-0.00101251	-0.00380917	-0.00908676	0.00755881	0.00274565
sample_85	0.0130998	0.00891078	0.0118858	-0.00151927	-0.0173113	0.00971274	-0.00259489	0.00276714	0.00883108	0.00126564
sample_86	0.0200401	-0.0130737	-0.0379221	0.0179192	-0.0141877	0.0122684	0.00499526	0.0171522	-0.00810453	0.00789784
sample_87	0.0107936	-0.0192142	0.0110748	0.0135594	-0.0100573	0.00214149	-0.0240806	-0.0112177	-0.00937718	-0.00905532
sample_88	0.0171788	0.0223513	0.0242987	-0.0109528	-0.0206109	-0.0177342	0.0046471	0.0109717	0.0105037	0.000779122
sample_89	-0.00245988	0.00936609	0.0127085	0.0144011	-0.0101146	-0.00405293	-0.0304362	-0.00935307	-0.014327	-0.01468
sample_90	0.00815104	0.00912638	-0.0225274	-0.00143311	0.0183076	0.00208499	0.00418965	-0.00592676	-0.00271369	0.00402721
sample_91	-0.00919176	0.0237552	-0.0164071	-0.00362575	0.00356578	-0.0139682	-0.0094331	0.008047	0.0128399	0.0129643
sample_92	0.0114503	-0.00441963	-0.025796	-0.0169397	-0.00963927	0.0179051	-0.00974569	0.00730588	0.000236354	-0.0193401
sample_93	0.0161547	0.00146887	-0.00182605	-0.0146507	0.0111086	0.00944811	-0.0109373	0.00103097	0.0090582	-0.0173737
sample_94	0.0107563	-0.00310902	-0.0188854	0.00803152	0.00560054	-0.000994981	0.00777928	-0.0168969	-0.000908233	-0.00282233
sample_95	-0.000989904	-0.00584672	0.00138001	-0.0108985	0.00895325	-0.0175499	0.00691395	0.00022538	-0.0202345	-0.000469793
sample_96	-0.00222746	-0.00237223	-0.0113964	-0.0170596	0.00545277	0.0208276	-0.0126957	-0.00780246	-0.0115671	-0.00449031
sample_97	0.0236239	-0.0357653	0.00430865	-0.00708255	-0.0217607	0.0185119	0.00267984	-0.00604339	0.0119382	0.0165334
sample_98	0.0201246	-0.0103165	0.00958252	-0.00391895	-0.019396	-0.00326304	0.0147367	0.0158818	-0.0165521	-0.00740305
sample_99	-0.000955481	0.0357401	0.00670986	0.00182596	-0.0114757	-0.0165593	0.0308518	-0.00257574	-0.013464	0.0189165
sample_100	-0.00243252	0.00850082	-0.00561021	-0.00710696	0.00152419	0.0183628	-0.0248227	-0.00226235	-0.0248637	-0.0111846
sample_101	-0.00630726	-0.00467294	0.029434	0.0169263	0.012337	0.00600478	-0.00493801	-0.00274373	0.0200792	0.00401558
sample_102	0.00508253	-0.0020985	0.000555158	-0.0137853	0.00193002	0.00637041	-0.0297926	0.000816923	0.0168405	-0.0157818
sample_103	-0.0187111	-0.00871831	0.0075865	0.0157199	0.00150166	-0.00474757	0.0113145	-0.00814828	0.0181281	-0.00436327
sample_104	0.0162891	-0.0258115	-0.00633869	-0.00432695	-0.00827278	-0.0166488	0.015275	0.0252361	0.011631	0.00929675
sample_105	-0.0116934	0.00258673	0.00663633	-0.00268657	0.0289511	-0.0051408	-0.0105344	0.0173312	0.00198881	-0.01307
sample_106	0.00306082	0.00394954	0.0179377	0.0124617	0.0101616	0.0161425	0.0102226	0.0199876	-0.00535092	-0.0024759
sample_107	0.0204019	-0.00748442	0.0157328	-0.00171098	-0.00919797	-0.00728922	0.0266961	0.0145723	-0.00795977	-0.0170201
sample_108	0.00290186	0.00275406	-0.00940994	-0.00170525	0.0137314	-0.0241987	0.00165525	0.00165328	0.0114124	-0.00019287
sample_109	-0.0096689	0.000336008	0.00504692	0.00705928	-0.00681543	-0.00132794	-0.0177463	-0.00926132	-0.00378472	0.00789715
sample_110	-0.0236077	0.001488	-0.00135681	0.0225408	0.00674841	-0.024885	-0.00422759	-0.0253809	-0.0236813	0.00190454
sample_111	0.00482447	0.00411935	-0.0342984	-0.0117554	0.0124933	0.00865817	0.0197824	0.00317853	-0.0161483	-0.0157243
sample_112	0.00700418	0.00975628	0.0044896	0.00233874	-0.00348665	-0.000383391	0.00184345	0.0122816	-0.00668715	-0.00600066
sample_113	-0.0123742	0.0113782	-0.00592181	0.00474652	0.00619731	0.00605235	0.00266886	0.00327781	0.000970899	8.69653e-05
sample_114	0.0226212	-0.0106952	0.00843561	-0.00781266	-0.0112728	-0.0187664	0.0101207	-0.00167084	0.0064379	0.0134421
sample_115	0.011267	0.00808523	0.0349635	0.0349932	-0.00733867	0.0171143	0.0143172	0.0106978	-0.00386037	0.00143997
sample_116	0.0140483	0.00279695	-0.0175901	0.0111539	0.0224053	-0.000278168	-0.0155937	-0.00836425	-0.0118984	-0.00402586
sample_117	-0.00853035	0.0144688	-0.00419778	0.00779754	0.0297445	-0.0101408	0.0220176	-0.00108242	0.000620792	0.0153675
sample_118	-0.00264404	-0.00927274	0.00368364	-0.0111178	-0.0136641	0.00615535	0.0186417	-0.00226005	-0.00948288	-0.0271425
sample_119	-0.0152888	-0.00132398	-0.000920637	0.00346201	-0.00387452	-0.00578584	0.00693628	-0.0292326	-0.0145608	-0.0105654
sample_120	-0.0139333	0.000527912	-0.0147145	-0.0103988	0.0148735	-0.018678	0.0189927	-0.00935155	0.00832367	-0.00709732
sample_121	0.00266436	-0.00297758	0.0045581	-0.0118995	-0.00536689	0.0295274	0.0190852	-0.00307594	-0.0143017	0.00942257
sample_122	-0.003046	0.00585839	0.0109162	-0.0180677	-0.0113956	-0.00831738	0.02486	0.0145875	0.0133244	-0.0161066
sample_123	-0.0129539	0.00834563	0.0208347	-0.00201865	-0.0121912	0.000798677	0.0224314	0.0195139	0.00520756	0.013959
sample_124	0.0115358	0.0315732	-0.0161066	0.0118327	0.0153143	-0.000491403	0.0193805	-0.0125595	-0.00942491	0.0263769
sample_125	-0.00736737	-0.00652725	-0.0060246	-0.00560554	0.00860767	0.0138898	0.00102328	-0.0108713	-0.00976075	-0.00974315
sample_126	0.0122259	0.0048835	0.00509634	0.015666	0.0156306	-0.000344358	0.00862846	-0.00754632	-0.0144281	-0.00641753
sample_127	0.015326	0.0260394	0.00818035	0.0079731	-0.0121539	0.00367438	0.0149073	0.0154218	0.00317876	-0.0275303
sample_128	0.00541425	-0.0165001	0.0162147	-0.00673975	-0.0111914	-0.000502107	-0.0101573	0.0266	-0.00688304	-0.00263265
sample_129	0.00207667	-0.0134304	0.00378476	-0.0148213	0.00262665	0.00904369	0.0139557	0.000967353	-0.00907812	0.027594
sample_130	-0.00363283	0.020224	0.0145301	0.00166856	0.0140326	0.00893697	-0.0102086	-0.00202255	0.055477	0.0123789
sample_131	-0.00155264	-0.0153266	0.00352637	-0.0130147	-0.0110117	-0.0186454	0.00607824	-0.00200351	-0.00571141	0.0104344
sample_132	0.00292235	0.00491612	0.00522256	-0.01324	-0.0169303	0.0131318	0.0197132	-0.00449768	-0.00120392	0.00464911
sample_133	-0.0217107	0.0267392	0.0030232	-0.0137295	0.0077619	-0.0322955	-0.0100583	4.90395e-05	-0.00365645	0.00718827
sample_134	0.0173981	0.0119288	-0.000740295	-0.0277142	-0.000408832	-0.00413499	-0.0143064	-0.00717128	0.00999674	-0.0118555
sample_135	-0.00529547	0.000274585	0.00436756	0.0168906	0.0151487	-0.00242811	-0.010453	-0.00320215	-0.00396035	0.00432044
sample_136	0.00360869	0.0265863	-0.0192897	0.00683715	0.00966826	-0.00950977	0.00981124	0.000648544	-0.0177698	0.0301536
sample_137	0.0231062	0.0172582	-0.0301535	-0.00962193	0.00508934	0.0296222	-0.00764173	0.00324668	-0.000638831	-0.000994879
sample_138	-0.0252095	-0.0137941	0.020784	-0.0333626	-0.0146411	0.0148768	-0.0151857	-0.0088532	-0.0105055	0.0164801
sample_139	-0.0107636	0.0146406	0.00788695	-0.0213862	-0.0208103	0.000785326	0.0071568	-0.0269086	-0.023781	0.0209441
sample_140	-0.00644167	0.0110437	-0.00399774	-0.00536991	-0.00111653	-0.0141357	0.00619161	0.00821359	-0.00128493	0.0125491
sample_141	0.00918999	-0.00308227	-0.0175227	0.00305765	0.0108191	0.00714911	0.024426	-0.0150001	0.0096605	0.0116392
sample_142	-0.00721669	0.00596809	0.00459616	0.015021	-0.00667616	-0.00317791	0.00881749	-0.00944309	-0.00206601	-0.00411974
sample_143	-0.00369836	-0.0152647	0.0106749	0.00232186	0.00463646	0.002058	0.0147987	-0.0193217	-0.00970225	0.0129235
sample_144	0.00723517	0.0220077	0.0153412	-0.000632925	-0.0147395	-0.0131712	0.00726244	-0.00753024	-0.0126015	0.0084323
sample_145	-0.00272945	-0.0195047	0.00691335	-0.000803832	0.00661112	-0.0154164	0.0035915	-0.0185482	0.0107836	-0.00183542
sample_146	0.0283155	-0.00213952	0.0159126	-8.4465e-05	-0.0156779	0.0229181	-0.0442698	-0.01182	0.0796976	0.0415165
sample_147	0.00778698	-0.0162679	-0.026804	-0.0187121	0.0130283	-0.012335	0.00365961	0.0259558	0.00192534	0.000146006
sample_148	0.018513	0.00629238	0.00263627	-0.0044683	-0.00558818	-0.0213808	0.00964604	0.000748121	-0.00263282	-0.00500182
sample_149	-0.00434632	-0.0174631	0.00357877	0.0204895	0.0294609	-0.0158826	0.0136889	0.0225093	0.00421893	0.0143547
sample_150	-0.0179824	-0.00426346	-0.00123256	0.00784351	-0.0290546	0.0122828	-0.00346934	0.0406108	0.000339977	0.0175413
sample_151	-0.00321108	0.0236858	-0.0418037	0.0379244	0.0261897	-0.00831161	0.0071733	0.00636245	0.0265636	-0.00713066
sample_152	0.00157738	-0.0159513	-0.00424851	-0.0363118	-0.00927293	-0.0057616	-0.0123177	0.00147517	-0.013751	0.0245399
sample_153	-0.00334229	0.000465974	0.0131059	0.0103707	0.0486331	-0.0203752	0.00243483	0.00591097	0.0262764	-0.00532956
sample_154	-0.00662512	0.0101554	-0.0075938	0.0175382	-0.00542675	0.00310116	-0.00777782	0.0108535	-0.0147463	0.0394466
sample_155	0.00190132	-0.00447312	-0.00158647	-0.0141794	-0.00621736	0.00502211	0.00879627	-0.00513064	0.00760194	0.00156402
sample_156	0.00296326	-0.00481757	0.0119238	0.0102118	-0.0188285	-0.000447501	0.0120575	0.00162481	-0.0100715	0.00129556
sample_157	0.00954212	0.017178	-0.0157013	0.00185857	0.00330607	0.00706405	0.0104296	-0.00089138	-0.00514428	-0.0299596
sample_158	0.00430462	-0.00603138	-0.013753	-0.0149864	0.00271641	0.00733317	0.0206108	-0.0104141	-0.00273692	0.00668398
sample_159	-0.0091199	-0.0199574	0.00620598	0.0181931	0.00974085	0.0109985	0.000509246	-0.00234235	-0.0193418	-0.0131259
sample_160	0.0177763	0.00405493	-0.00509362	-0.00329216	-0.0317513	0.0113223	0.0367376	-0.0359328	0.00426175	-0.0236434
sample_161	0.00508994	0.00298061	-0.00166667	0.0151679	-0.00935167	0.00958276	0.0187293	0.0146994	-0.00657813	-0.000913913
sample_162	-0.00988131	0.0224496	-0.00943789	-0.00354838	0.0152295	0.00259046	0.00549394	-0.00985309	-0.00816574	0.00522784
sample_163	-0.00356106	-0.0111812	-0.0202762	-0.0112356	0.00382103	-0.0123726	0.0272452	0.0137073	-0.0127578	0.000950998
sample_164	-0.00096559	0.0029536	-0.00927713	-0.00958103	-0.00853673	-0.0120459	0.00371011	0.00348684	0.0010184	0.018638
sample_165	0.00647995	0.00391773	0.00825832	0.0115943	-0.0133035	0.0115889	-0.0131383	0.0112707	0.000905564	0.00987591
sample_166	0.00605122	0.00900578	-0.00204527	0.00227792	-0.0139826	-0.00827867	-0.00549512	0.00953688	-0.013158	-0.0075484
sample_167	-0.0138258	0.00914715	-0.0187811	-0.00890186	0.00968532	-0.00384442	-0.00911158	0.011368	-0.00705965	-0.0157233
sample_168	-0.000826871	-0.0103423	0.026276	-0.0156398	0.00405191	0.00113363	-0.0127681	0.00827478	0.00388831	0.000748277
sample_169	-0.0149791	0.00839888	0.0168846	0.0137309	-0.00466639	-0.0107948	0.012488	0.00489628	0.00112692	0.00567592
sample_170	0.0105762	0.000168098	0.00212764	-0.0122244	-0.0184595	0.0387642	0.0184178	0.00086899	0.0120895	0.0230411
sample_171	-0.017524	0.00821052	0.00779418	0.0263435	0.0200098	0.000909004	-0.00715075	-0.0032174	0.0302268	-0.0087607
sample_172	-0.00363027	-0.0154809	0.0185615	0.0102327	-0.0082373	0.003965	0.00130813	0.0227776	-0.00357473	0.00547256
sample_173	-0.0252817	-0.0290857	0.0324047	0.00867201	-0.00482631	0.0109782	0.00561186	0.00707718	0.00324721	0.00210406
sample_174	0.0143758	0.00475081	-0.0132288	0.0141198	-0.00481788	-0.00825044	0.00553368	-0.0144598	-0.0212046	0.023012
sample_175	-0.00507071	0.00569309	-0.0105424	-0.00784293	-0.0182954	0.000380736	-0.0150597	-0.0283139	0.0243258	0.0101731
sample_176	0.00220171	0.0128766	0.00853077	0.00271253	-0.000900219	-0.0224409	0.0300944	-0.00559581	0.00536423	-0.0144419
sample_177	0.00120753	0.0108437	-0.00803858	-0.00143164	-0.0116177	-0.00620991	-0.0184396	0.00427235	-0.00746847	-0.0225839
sample_178	0.0105707	-0.0121038	0.00377101	0.0234711	-0.0295134	-0.00215735	0.00585469	0.00493711	0.0144491	-0.00917533
sample_179	-0.00601231	-0.0127142	0.0392779	-0.00345579	-0.0129324	-0.004129	0.0301039	0.00238971	-0.0265679	-0.0257006
sample_180	0.00360615	-0.0184469	-0.0123796	0.0171582	0.00336842	0.0152075	-0.0219884	-0.0303464	0.015912	0.0220454
sample_181	-0.013783	0.0087698	-0.00186397	-0.0231815	-0.00686802	0.00298565	-0.00414227	-0.0092285	0.000505635	-0.029954
sample_182	0.0232064	0.00824341	-0.0204028	-0.0107881	-0.00619992	0.012762	-0.0193275	-0.0021499	0.00391604	-0.0273109
sample_183	-0.0270636	0.0108344	0.0047104	-0.0079548	-0.0135392	-0.0063887	-0.00222307	-0.0140657	-0.00891747	0.0194609
sample_184	0.0188995	0.000466823	0.00359044	-0.00942239	0.00686494	0.00553817	-0.00137979	0.00488346	0.0187369	0.0174466
sample_185	0.0192424	-0.00822853	-0.0141978	-0.0182357	0.0121743	4.52336e-05	-0.00286421	-0.0093058	0.000878089	0.0147009
sample_186	0.0165688	-0.0155525	-0.00931291	0.00440607	-0.0219029	0.00197377	0.00326094	0.00464939	0.0151052	-0.012774
sample_187	-0.00917074	0.0171794	0.00977804	-0.00812735	0.00670532	0.00892438	0.0274625	0.000599885	0.0114817	-0.00330319
sample_188	0.00380165	0.00646078	0.00748351	-0.00746799	0.00517467	-0.0204866	-0.000528019	0.0126749	0.00894965	0.00537807
sample_189	-0.00501361	0.0124899	0.0230938	0.0031452	0.0129781	0.00640945	0.0346917	0.0149386	0.00262334	0.0124909
sample_190	-0.0140211	0.00897056	0.00541185	0.00471293	-0.00987811	-0.0211715	-0.0224338	-0.0145647	0.00141596	0.00959157
sample_191	-0.0093319	-0.00132131	0.00065947	0.0269521	-0.00984302	-0.0192409	0.00458135	-0.00724826	0.0047058	0.00977488
sample_192	0.0077583	-0.000285989	-0.00657038	-0.00519135	0.00748043	-0.00475338	0.00783253	-0.00302684	0.0130228	0.000204027
sample_193	0.00087124	0.000439517	-0.0153703	-0.0138736	-0.00785367	-0.00847037	-0.0182987	0.000602973	-0.015015	0.0192812
sample_194	-0.00994524	-0.0229933	0.0129536	0.00649467	-0.0195589	-0.00864135	-0.0081228	-0.00605953	0.00233917	-0.0281049
sample_195	-0.0489659	-0.00256419	-0.0071641	0.00089154	0.000255373	0.0340642	-0.00984012	0.0161724	0.00635279	-0.0266558
sample_196	-0.0174072	-0.00757992	-0.0118836	0.00136968	-0.00838528	-0.0105091	-0.00977395	0.00556926	0.0173326	-0.0120477
sample_197	0.0142126	-0.00638788	-0.0155864	0.0190652	0.0273716	0.000219911	-0.0211761	0.000216788	0.0171079	-0.00704316
sample_198	-0.00322977	-0.00202233	0.00552655	0.00925441	-0.0109069	-0.00662301	-0.00812638	-0.0147938	0.0166805	-0.00971329
sample_199	-0.00661964	-0.0271488	-0.0120446	0.00122914	0.0113377	-0.0149565	0.012308	0.0145449	0.0112918	0.00594397
