IID	Y_rec	Y_add	Y_null
sample_53	-0.7944	1.0121	0.6912
sample_54	0.6647	0.1821	1.4130
sample_55	-1.5408	-0.3052	0.0473
sample_56	2.0353	1.5265	1.0384
sample_57	1.2387	3.2497	0.4718
sample_58	-1.0059	2.3454	-1.4269
sample_59	-0.8687	0.2660	-0.9804
sample_60	0.5272	0.2768	0.1135
sample_61	1.8938	-1.1340	1.3664
sample_62	-0.8247	1.9622	1.9052
sample_63	2.3016	0.3095	-1.1633
sample_64	2.3279	0.9466	-1.7628
sample_65	0.7355	-0.9227	1.4420
sample_66	0.9652	-0.2813	0.0362
sample_67	-0.2426	0.0426	3.0983
sample_68	-0.9362	0.0553	0.9915
sample_69	-0.3843	-0.1285	-1.3291
sample_70	1.1920	1.2120	0.4699
sample_71	-1.5088	1.0036	0.2853
sample_72	1.6619	-0.3767	-0.0567
sample_73	-0.8708	0.5800	0.0633
sample_74	1.6618	1.8820	-0.0661
sample_75	0.5291	0.4184	1.0082
sample_76	1.0359	0.6547	0.9220
sample_77	0.1535	1.1258	0.7452
sample_78	1.5553	1.8805	-0.2575
sample_79	0.9566	1.8538	1.0916
sample_80	2.2895	-1.5516	-0.5484
sample_81	-0.2663	0.0997	0.3724
sample_82	-0.3681	1.1061	0.9848
sample_83	0.4135	-0.5122	0.5474
sample_84	0.6743	0.8539	0.0300
sample_85	3.4003	0.4516	-0.3667
sample_86	0.6671	0.5308	0.8526
sample_87	-0.2840	-1.3147	-1.2376
sample_88	-0.4327	1.2924	0.7923
sample_89	-1.8159	1.0339	-0.0872
sample_90	-1.0421	2.1908	0.2640
sample_91	0.8274	2.5675	-0.5811
sample_92	-0.3968	1.9890	-1.3077
sample_93	0.0740	0.5462	0.9702
sample_94	0.4054	-0.9132	0.9722
sample_95	0.8451	-1.0510	-0.6878
sample_96	-0.5258	-0.6493	1.0647
sample_97	-0.3238	-0.2778	-1.0378
sample_98	-0.3945	1.9850	0.7483
sample_99	-1.6174	-0.9897	0.6356
sample_100	-0.4981	-0.0532	-0.8605
sample_101	0.6689	1.0953	-0.3803
sample_102	1.1404	-0.0667	-0.9652
sample_103	2.6938	2.3461	-0.7357
sample_104	0.2974	0.5210	-1.3499
sample_105	1.6416	-1.3877	-0.3277
sample_106	3.4735	1.8712	-0.5137
sample_107	-0.7831	-0.1815	-0.2402
sample_108	3.4964	0.8453	-1.3500
sample_109	0.9858	1.5365	-0.2268
sample_110	0.7721	0.0512	-1.2068
sample_111	-0.0811	-1.1447	-0.6342
sample_112	-0.9389	0.3328	0.1865
sample_113	-1.3197	-0.4199	-0.0027
sample_114	0.4644	0.0722	-2.2068
sample_115	3.2869	2.7723	1.5838
sample_116	0.5441	1.1720	-0.6542
sample_117	0.1886	-0.6306	0.1218
sample_118	-1.4297	1.0852	-0.3546
sample_119	0.7671	0.1826	-0.4596
sample_120	0.8433	-0.6734	-0.2649
sample_121	-0.5375	0.7440	-0.0755
sample_122	0.2700	0.5255	-2.3461
sample_123	-0.9263	0.6159	1.0125
sample_124	0.5726	1.8108	-0.2216
sample_125	0.1007	0.0002	-0.4357
sample_126	-0.8304	-0.0433	-0.1905
sample_127	-0.6516	0.5266	-1.8186
sample_128	0.4279	0.1775	0.4462
sample_129	1.5365	0.9918	0.9824
sample_130	-0.1545	1.9865	-1.4061
sample_131	-0.2474	-1.1274	-0.7867
sample_132	1.2100	0.5193	0.7828
sample_133	-1.1439	1.1100	-1.4409
sample_134	-0.4055	1.8198	0.4620
sample_135	0.2723	1.1301	0.5760
sample_136	0.6280	1.4037	-1.0385
sample_137	-0.0707	1.1373	0.7496
sample_138	0.5581	1.8065	-0.5010
sample_139	-1.3497	1.7724	-0.0008
sample_140	-0.5487	0.0358	-0.4323
sample_141	1.0062	0.8902	0.3117
sample_142	0.5409	0.0326	1.0265
sample_143	-2.3633	-1.1682	-0.0399
sample_144	-0.4135	-0.9505	0.6200
sample_145	1.0216	1.2174	0.1243
sample_146	0.0577	-0.3292	-0.1932
sample_147	1.2269	1.0435	0.9628
sample_148	-0.0801	-1.2023	-0.4665
sample_149	1.8493	2.3015	1.1360
sample_150	0.4248	-0.3565	0.1284
sample_151	-0.2617	-0.2435	-1.2335
sample_152	2.4639	0.9702	0.8044
sample_153	-1.4616	-1.1270	3.6463
sample_154	-0.8801	0.2876	0.4378
sample_155	1.0178	2.7276	-0.0656
sample_156	0.1495	1.8184	-0.7910
sample_157	-0.4876	-0.3455	-1.3726
sample_158	2.2758	1.4731	0.1833
sample_159	2.6558	1.8657	0.3387
sample_160	-0.2414	1.2204	-0.6967
sample_161	1.3964	-0.1930	0.7648
sample_162	1.8266	-1.7648	-0.1923
sample_163	-0.4039	1.7074	-0.4068
sample_164	4.7290	-0.5279	0.3495
sample_165	-0.3863	0.5051	-0.5651
sample_166	-0.4510	-1.8228	0.1082
sample_167	-1.4979	-1.3097	0.0869
sample_168	-0.1213	1.0271	-1.3531
sample_169	0.4210	0.3225	-0.3024
sample_170	1.1964	0.9209	0.8840
sample_171	-0.3738	1.3473	-0.2738
sample_172	1.7248	0.5268	-0.1755
sample_173	-1.6108	-1.4272	0.3813
sample_174	-0.2274	0.2813	-0.6846
sample_175	-0.1504	-0.1237	0.2952
sample_176	-0.2182	2.3647	-0.6881
sample_177	3.1188	-0.0545	-0.4653
sample_178	-0.8415	1.7596	0.4370
sample_179	0.1372	0.7345	-1.0844
sample_180	1.4029	1.8895	-0.0343
sample_181	0.0133	0.6491	-0.1753
sample_182	-0.2002	0.0072	-0.3459
sample_183	-0.4761	1.2299	-0.3283
sample_184	-0.4284	-0.1268	-1.4995
sample_185	1.5602	0.5086	0.8665
sample_186	-0.5299	1.9572	0.1452
sample_187	1.4526	-0.0134	-0.0447
sample_188	-0.5280	0.0775	0.2250
sample_189	1.4927	1.5397	0.0899
sample_190	1.2190	-2.7177	-0.4703
sample_191	0.2497	0.8871	0.4231
sample_192	-0.0561	0.0385	-0.7998
sample_193	3.9020	2.1222	1.3078
sample_194	0.0106	-0.5345	0.5547
sample_195	-0.0246	-0.1281	-0.0249
sample_196	-0.6330	-0.3714	-0.2424
sample_197	-1.3854	0.5982	0.8386
sample_198	-0.7695	-1.8274	0.3936
sample_199	0.2384	0.0205	-1.3344
sample_200	0.0823	2.7116	-0.2164
sample_201	0.5044	0.4293	0.4135
sample_202	-1.2783	-0.4457	-1.3554
sample_203	-1.0872	-0.2090	-1.8065
sample_204	-0.4612	-0.2109	-1.1862
sample_205	-0.1328	-0.0113	-0.8370
sample_206	2.0120	1.2182	1.1217
sample_207	-0.3284	0.8936	0.7656
sample_208	-1.0185	-0.6822	2.9152
sample_209	-0.4112	0.9869	-0.2146
sample_210	0.8314	-0.9946	-1.0053
sample_211	1.1343	0.1985	-2.4776
sample_212	0.0234	0.3180	0.7107
sample_213	0.3211	0.8422	0.0875
sample_214	0.2905	-0.6526	-0.8149
sample_215	-0.8523	-1.3412	0.7883
sample_216	1.0776	1.1140	-0.6012
sample_217	-0.5371	0.0601	1.1129
sample_218	2.5266	2.7389	-0.9696
sample_219	-0.2256	-0.7607	-1.4172
sample_220	1.8447	1.1643	-0.5128
sample_221	-1.5347	0.1968	-0.2839
sample_222	0.9149	0.5505	-1.3117
sample_223	0.3957	-0.0989	1.5325
sample_224	-0.0296	-0.0035	-0.4065
sample_225	-1.5009	1.7745	2.1194
sample_226	-1.7298	0.2482	-0.1104
sample_227	-0.5943	1.7175	1.2474
sample_228	-0.2453	2.5713	0.0328
sample_229	-0.2419	0.2798	-0.7460
sample_230	1.4531	0.6166	-0.3549
sample_231	-0.1855	-0.9078	0.2625
sample_232	-1.2936	0.5032	-0.5172
sample_233	2.5671	2.0426	0.7869
sample_234	-0.1226	-0.7096	-0.2997
sample_235	-0.0166	0.4879	-0.5682
sample_236	-0.9673	0.6734	1.3588
sample_237	1.8723	0.7932	-0.9903
sample_238	1.4086	-0.8457	-0.7706
sample_239	0.4276	-0.8803	0.8017
sample_240	-0.0536	0.3991	-0.8234
sample_241	2.8464	2.0131	-0.3633
sample_242	0.9453	-2.1603	0.3623
sample_243	-0.1075	-0.7950	0.1772
sample_244	0.4998	-0.2370	-0.1195
sample_245	-0.0414	0.8929	1.2268
sample_246	-0.4639	1.3169	-1.3042
sample_247	2.3008	-0.7196	0.0718
sample_248	0.7223	2.5230	0.0494
sample_249	-0.7483	1.0265	0.0412
sample_250	0.0983	1.4170	1.0928
sample_251	-1.7321	0.0515	-0.0164
sample_252	-1.0696	-1.6239	-0.0668
sample_253	-0.4637	-0.2247	-0.1374
sample_254	1.6490	1.0176	1.5768
sample_255	1.9699	2.8804	1.2441
sample_256	2.9676	0.2715	-0.2934
sample_257	1.0803	1.4159	-0.0671
sample_258	2.4417	1.3025	0.1678
sample_259	1.6431	0.0270	-0.4417
sample_260	0.7166	-0.1639	-0.0600
sample_261	0.8678	0.4876	-1.4748
sample_262	-0.0804	-0.3713	-0.0542
sample_263	0.3903	1.0094	1.6638
sample_264	-0.5008	-0.2949	0.5740
sample_265	2.9620	-0.0314	0.6867
sample_266	2.6655	0.8496	-0.2811
sample_267	0.7326	0.4272	0.4007
sample_268	-0.7318	-1.2223	-0.0940
sample_269	-0.2711	0.4581	-0.7645
sample_270	0.6347	0.9096	-0.7401
sample_271	0.9450	0.1571	-0.6965
sample_272	2.2509	0.9853	-0.9051
sample_273	2.6201	0.9908	-0.7582
sample_274	-1.7540	0.4264	0.0990
sample_275	0.1194	1.8768	-2.4906
sample_276	1.2692	1.3638	-0.9801
sample_277	1.0147	-0.8120	-1.0425
sample_278	-0.1014	2.3277	0.3617
sample_279	0.0499	0.8857	-0.6225
sample_280	1.4975	1.5706	0.4292
sample_281	-0.7883	1.5720	0.2947
sample_282	2.6437	2.1366	0.4364
sample_283	-0.9025	1.9903	0.2793
sample_284	2.3242	1.6151	0.3117
sample_285	0.7479	0.6975	-0.1776
sample_286	-0.5502	-0.5113	-0.2882
sample_287	2.9894	0.6631	-0.1111
sample_288	-0.1011	1.0339	0.6490
sample_289	1.9744	-0.8931	-0.2279
sample_290	0.5730	-1.1851	1.7413
sample_291	-0.1161	-0.2940	0.9708
sample_292	-2.1980	0.7122	-0.9915
sample_293	1.9851	1.3741	0.7925
sample_294	0.4113	2.5864	0.0620
sample_295	-0.3419	1.7261	-0.0653
sample_296	2.4182	-2.9373	0.4532
sample_297	-0.0748	-0.4349	-0.6563
sample_298	2.9032	-1.0417	3.1492
sample_299	1.1541	0.8698	1.9004
sample_300	0.2747	-0.3950	1.0271
sample_301	-1.6360	0.6001	1.1981
sample_302	0.5350	-0.9512	0.2051
sample_303	-0.1231	-0.7422	-2.3120
sample_304	-1.1855	-0.0007	1.1256
sample_305	2.7532	0.8568	-0.7883
sample_306	-0.4210	1.0822	0.6138
sample_307	0.3909	0.2381	1.1993
sample_308	2.2359	0.0096	0.1588
sample_309	0.5044	0.0378	-2.1926
sample_310	0.4937	-0.2336	1.3166
sample_311	2.1824	2.4974	-0.8576
sample_312	1.1312	-1.6316	0.9377
sample_313	-0.2372	0.9374	-0.3581
sample_314	0.6825	0.5026	0.3832
sample_315	2.4427	2.6804	-0.5613
sample_316	1.4034	-0.3541	1.2069
sample_317	2.3397	-0.2983	-2.1560
sample_318	0.1637	-0.1917	-0.5265
sample_319	-0.3293	-0.5338	1.4310
sample_320	3.1254	2.1591	2.3121
sample_321	-0.7708	-2.4968	2.0235
sample_322	0.2505	-0.0557	-1.8029
sample_323	-1.3517	0.6919	-0.1431
sample_324	-2.1529	-0.9405	1.0491
sample_325	1.2787	0.2142	2.8340
sample_326	1.0267	1.8103	1.3333
sample_327	0.8312	-1.3392	-1.6004
sample_328	-0.7413	0.2584	0.0011
sample_329	0.3747	0.4800	0.4778
sample_330	0.9875	0.5079	-0.2880
sample_331	-2.6213	1.3722	-0.7733
sample_332	-0.9091	0.8677	0.9184
sample_333	0.6800	0.9530	-1.0941
sample_334	-0.2292	-0.0500	1.7298
sample_335	0.8638	-0.2439	0.8415
sample_336	0.3747	-0.1174	0.4669
sample_337	0.8506	0.3578	-1.2505
sample_338	0.3546	-0.2641	-1.1454
sample_339	-0.7682	0.2505	0.0272
sample_340	0.5617	0.2875	0.4499
sample_341	-0.3734	1.0457	0.4031
sample_342	0.5692	1.4371	-0.2828
sample_343	0.4067	0.9221	0.8094
sample_344	2.0249	1.3181	-1.7227
sample_345	-0.8341	0.5387	0.7778
sample_346	1.2496	1.3670	-0.7110
sample_347	0.8476	1.0710	0.2170
sample_348	2.3964	1.7300	1.6771
sample_349	0.9487	-0.3608	0.9397
sample_350	-1.4675	0.6007	1.0535
sample_351	0.6792	1.3282	1.9100
sample_352	-0.7407	1.2948	-0.0933
sample_353	1.1147	0.1176	0.7821
sample_354	3.5468	1.6309	-0.2098
sample_355	-0.3677	-0.6940	1.0381
sample_356	1.3123	-0.2443	-1.8094
sample_357	1.3665	1.4340	-0.9468
sample_358	-1.9585	-0.4444	-2.0402
sample_359	0.3254	0.0989	0.0603
sample_360	1.2967	-0.4079	-2.1479
sample_361	-0.0284	0.9690	-1.4295
sample_362	1.6315	0.6528	0.0278
sample_363	-0.6155	3.1635	-0.2624
sample_364	0.1865	0.0152	-2.6431
sample_365	1.3809	-3.1568	1.3568
sample_366	-1.3214	-0.8589	-0.1089
sample_367	2.1959	0.3196	-0.1913
sample_368	-0.7677	0.6507	-0.3701
sample_369	0.7138	-1.4635	0.5284
sample_370	0.3180	-0.8602	-1.0326
sample_371	-0.1474	-0.4865	0.2900
sample_372	-1.4347	-0.3846	2.1140
sample_373	-0.8424	0.0739	-0.1771
sample_374	-0.2785	1.7069	-0.5722
sample_375	0.8549	-0.8555	0.7731
sample_376	1.7859	0.8252	-0.0886
sample_377	0.5502	-1.1935	-0.9705
sample_378	2.0372	0.5065	-0.3609
sample_379	0.6421	-0.0601	-2.2514
sample_380	2.1613	0.8781	0.3491
sample_381	-0.7747	-0.2205	1.1421
sample_382	-0.1508	-0.4290	0.3651
sample_383	-0.3942	1.5679	-0.1745
sample_384	0.3634	-0.2041	-1.2478
sample_385	0.7193	0.7620	0.6374
sample_386	0.7367	-1.4693	0.1198
sample_387	-2.0058	0.5194	-1.0856
sample_388	2.4673	1.7260	-0.5395
sample_389	-0.0230	1.7223	-1.6539
sample_390	0.6436	0.6184	0.9481
sample_391	-1.6519	0.0035	1.1042
sample_392	1.3592	-0.2693	-0.2795
sample_393	1.8414	-1.4198	-0.0457
sample_394	0.1774	0.1749	-0.9342
sample_395	0.9645	1.3885	1.8161
sample_396	1.2070	0.5183	1.0966
sample_397	1.8153	-0.0100	-1.5280
sample_398	-0.2161	1.4647	0.6781
sample_399	1.1129	1.9249	-0.4313
sample_400	-0.9044	-0.7027	-0.1228
sample_401	1.0191	1.7272	0.2188
sample_402	2.0147	0.8671	1.2264
sample_403	-0.7620	-0.1049	-0.0774
sample_404	-0.0272	1.8082	-0.8920
sample_405	2.4553	-0.6553	-0.8205
sample_406	1.3391	1.6487	-0.0141
sample_407	1.1212	-0.3237	-1.6732
sample_408	-0.3709	0.2798	-1.4698
sample_409	-0.1065	0.5356	-0.8067
sample_410	1.1760	0.4048	-0.1435
sample_411	0.4563	2.7476	1.1652
sample_412	-1.2617	-1.0368	-0.1103
sample_413	1.5720	0.6571	-0.5273
sample_414	1.0016	1.8774	1.4617
sample_415	0.9336	1.4374	-1.2812
sample_416	-0.8055	-1.2786	-0.2620
sample_417	-1.4360	0.7749	-0.0123
sample_418	-0.8645	0.4854	1.5307
sample_419	2.3454	0.4163	-0.2839
sample_420	-0.1041	-0.7015	-1.7117
sample_421	-0.3785	1.7427	-0.8272
sample_422	-1.9303	-0.0888	1.1028
sample_423	0.2776	1.1900	0.4114
sample_424	0.5369	1.0571	0.6081
sample_425	-1.5839	0.6161	1.3775
sample_426	-0.2217	0.8714	-1.0144
sample_427	1.3030	-0.6184	1.6495
sample_428	-0.3799	1.1778	-0.5334
sample_429	1.8778	-1.9721	0.3693
sample_430	-2.0794	-0.7048	1.8920
sample_431	0.9080	-2.0105	-0.0060
sample_432	-0.6197	1.0698	1.8504
sample_433	2.6539	1.4347	0.5080
sample_434	0.9075	1.7011	0.9211
sample_435	-0.6124	-0.1425	1.4500
sample_436	0.2091	-0.6373	-0.4241
sample_437	1.5425	0.9355	-0.0727
sample_438	-0.2493	1.6739	0.8323
sample_439	1.4830	-1.6947	0.1111
sample_440	1.1748	0.7254	-0.6793
sample_441	-0.7560	1.4600	-0.2125
sample_442	2.6483	1.1566	-0.1176
sample_443	0.1205	-0.8296	1.7012
sample_444	2.5482	2.3993	-0.5292
sample_445	-0.5405	-0.3192	-0.8616
sample_446	2.6782	1.7125	-0.5131
sample_447	-0.3197	0.8766	-0.7526
sample_448	-0.4093	1.5605	-0.7466
sample_449	-0.5168	2.5047	-2.1264
sample_450	-1.1844	2.2973	-0.4095
sample_451	2.4998	3.1197	-0.7170
sample_452	-0.5915	0.4108	-0.0758
sample_453	-0.5249	-0.1333	-1.3281
sample_454	0.4657	1.3345	-0.1615
sample_455	-0.2238	0.5488	-0.5382
sample_456	-0.3081	0.4317	1.4720
sample_457	-0.0492	-0.1137	-0.1641
sample_458	-0.3838	-0.9649	-0.9191
sample_459	0.8604	-0.0691	0.0924
sample_460	-0.4763	-0.8279	-0.4648
sample_461	1.3969	-0.4146	-0.6764
sample_462	1.5721	0.6654	0.2285
sample_463	-0.4116	0.4024	-0.4909
sample_464	0.3575	0.8113	0.2117
sample_465	0.6331	0.4008	1.2129
sample_466	2.4662	2.4878	-0.0797
sample_467	2.2721	0.3178	0.0156
sample_468	0.8180	0.1345	1.4922
sample_469	0.0257	2.0832	-1.0488
sample_470	-0.2769	-0.4964	1.0106
sample_471	0.6421	0.4236	-0.4558
sample_472	-0.0268	1.2246	0.8357
sample_473	-0.0596	-0.4471	0.1021
sample_474	0.1293	0.2525	-0.4535
sample_475	3.7405	0.3712	1.5125
sample_476	1.3937	1.4471	1.8741
sample_477	0.5558	0.1833	-0.5231
sample_478	-0.6711	1.3373	-1.4806
sample_479	0.5776	2.5325	1.0129
sample_480	0.4143	0.9233	0.7743
sample_481	-0.1869	-0.9686	1.2831
sample_482	0.4462	-1.3762	0.1423
sample_483	1.5313	0.8846	-0.3280
sample_484	2.5512	0.7916	-1.1550
sample_485	0.6730	0.4858	-1.4258
sample_486	0.4091	0.8876	-0.1525
sample_487	0.1877	-0.7643	-1.7501
sample_488	0.5218	-0.0879	0.4296
sample_489	-0.2348	0.2396	0.1623
sample_490	1.9367	2.3663	-0.4239
sample_491	-1.4444	0.1441	-1.3032
sample_492	-2.5340	-0.5968	-0.4386
sample_493	-0.7959	-1.0367	-0.2246
sample_494	1.2165	1.3294	0.0082
sample_495	2.9211	0.5596	-0.8820
sample_496	0.6785	-0.5836	0.3340
sample_497	1.9743	0.6373	-0.4581
sample_498	1.1372	-1.0894	0.2690
sample_499	-0.2886	-0.7414	0.0389
