Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_43	Cauchy	NA	0.106891	NA	NA	NA	NA	NA
gene_44	synonymous	0.5	4.952449E-03	-0.00621188	0.00221055	13338.4	14	0
gene_44	Cauchy	NA	0.00495245	NA	NA	NA	NA	NA
gene_45	synonymous	0.5	1.383496E-01	0.00299855	0.00202336	6421.8	11	0
gene_45	Cauchy	NA	0.13835	NA	NA	NA	NA	NA
gene_46	synonymous	0.5	9.873563E-02	-0.00386253	0.00233949	8389.53	11	0
gene_46	Cauchy	NA	0.0987356	NA	NA	NA	NA	NA
gene_47	synonymous	0.5	3.517317E-02	0.00681402	0.00323497	4433.11	11	0
gene_47	Cauchy	NA	0.0351732	NA	NA	NA	NA	NA
gene_48	synonymous	0.5	3.156799E-01	0.0043384	0.00432381	4327.76	9	0
gene_48	Cauchy	NA	0.31568	NA	NA	NA	NA	NA
gene_49	synonymous	0.5	7.475483E-01	-0.000814048	0.00252909	8393.93	14	0
gene_49	Cauchy	NA	0.747548	NA	NA	NA	NA	NA
gene_5	synonymous	0.5	9.103955E-01	-0.000254325	0.00225987	6264.38	9	0
gene_5	Cauchy	NA	0.910396	NA	NA	NA	NA	NA
gene_50	synonymous	0.5	7.402405E-01	-0.000657691	0.00198378	21943.4	13	0
gene_50	Cauchy	NA	0.74024	NA	NA	NA	NA	NA
gene_51	synonymous	0.5	4.679138E-01	0.00145333	0.00200217	5954.65	14	0
gene_51	Cauchy	NA	0.467914	NA	NA	NA	NA	NA
gene_52	synonymous	0.5	8.435222E-01	-0.000574479	0.00291037	5069.47	10	0
gene_52	Cauchy	NA	0.843522	NA	NA	NA	NA	NA
gene_53	synonymous	0.5	7.972058E-01	-0.000545093	0.00212127	8377.48	10	0
gene_53	Cauchy	NA	0.797206	NA	NA	NA	NA	NA
gene_54	synonymous	0.5	2.581719E-01	0.0025396	0.002246	8559	9	0
gene_54	Cauchy	NA	0.258172	NA	NA	NA	NA	NA
gene_55	synonymous	0.5	2.720734E-01	-0.00285333	0.00259795	7920.74	15	0
gene_55	Cauchy	NA	0.272073	NA	NA	NA	NA	NA
gene_56	synonymous	0.5	9.291488E-01	0.000187389	0.00210749	5710.25	12	0
gene_56	Cauchy	NA	0.929149	NA	NA	NA	NA	NA
gene_57	synonymous	0.5	2.042614E-01	0.00361435	0.00284705	5060.06	8	0
gene_57	Cauchy	NA	0.204261	NA	NA	NA	NA	NA
gene_58	synonymous	0.5	4.797559E-01	-0.0014001	0.0019812	8949.41	12	0
gene_58	Cauchy	NA	0.479756	NA	NA	NA	NA	NA
gene_59	synonymous	0.5	5.749019E-01	-0.00222883	0.00397404	1715.95	4	0
gene_59	Cauchy	NA	0.574902	NA	NA	NA	NA	NA
gene_6	synonymous	0.5	2.376746E-01	-0.00887148	0.00751299	1412.84	3	0
gene_6	Cauchy	NA	0.237675	NA	NA	NA	NA	NA
gene_60	synonymous	0.5	4.886648E-01	0.00140383	0.00202738	13799.2	17	0
gene_60	Cauchy	NA	0.488665	NA	NA	NA	NA	NA
gene_61	synonymous	0.5	7.606805E-01	-0.000565763	0.00185747	13725.2	11	0
gene_61	Cauchy	NA	0.76068	NA	NA	NA	NA	NA
gene_62	synonymous	0.5	5.315473E-01	0.00158781	0.00253787	8942.64	12	0
gene_62	Cauchy	NA	0.531547	NA	NA	NA	NA	NA
gene_63	synonymous	0.5	5.013653E-01	0.00160096	0.00238117	7910.2	14	0
gene_63	Cauchy	NA	0.501365	NA	NA	NA	NA	NA
gene_64	synonymous	0.5	5.229690E-01	-0.00199635	0.00312527	8035.15	11	0
gene_64	Cauchy	NA	0.522969	NA	NA	NA	NA	NA
gene_65	synonymous	0.5	2.711072E-01	0.00302613	0.00274973	6540.73	7	0
gene_65	Cauchy	NA	0.271107	NA	NA	NA	NA	NA
gene_66	synonymous	0.5	8.656465E-03	0.0093545	0.00356317	2937.6	9	0
gene_66	Cauchy	NA	0.00865647	NA	NA	NA	NA	NA
gene_67	synonymous	0.5	5.350158E-01	0.00208094	0.00335437	7130.19	11	0
gene_67	Cauchy	NA	0.535016	NA	NA	NA	NA	NA
gene_68	synonymous	0.5	6.403659E-02	-0.0053297	0.00287793	7609.7	12	0
gene_68	Cauchy	NA	0.0640366	NA	NA	NA	NA	NA
gene_69	synonymous	0.5	9.457500E-01	-0.000161441	0.00237257	9113.1	11	0
gene_69	Cauchy	NA	0.94575	NA	NA	NA	NA	NA
gene_7	synonymous	0.5	9.233594E-01	-0.000301537	0.00313439	4104.07	10	0
gene_7	Cauchy	NA	0.923359	NA	NA	NA	NA	NA
gene_70	synonymous	0.5	3.342429E-01	-0.00172625	0.00178774	9872.49	17	0
gene_70	Cauchy	NA	0.334243	NA	NA	NA	NA	NA
gene_71	synonymous	0.5	5.966680E-01	0.00088165	0.00166601	6353.39	11	0
gene_71	Cauchy	NA	0.596668	NA	NA	NA	NA	NA
gene_72	synonymous	0.5	6.488533E-01	-0.000980213	0.00215263	5284.33	13	0
gene_72	Cauchy	NA	0.648853	NA	NA	NA	NA	NA
gene_73	synonymous	0.5	9.333269E-01	-0.000177869	0.0021261	8400.45	15	0
gene_73	Cauchy	NA	0.933327	NA	NA	NA	NA	NA
gene_74	synonymous	0.5	4.103322E-01	-0.00146323	0.00177726	5943.38	13	0
gene_74	Cauchy	NA	0.410332	NA	NA	NA	NA	NA
gene_75	synonymous	0.5	6.502563E-01	-0.000973207	0.00214643	6843.17	13	0
gene_75	Cauchy	NA	0.650256	NA	NA	NA	NA	NA
gene_76	synonymous	0.5	2.580875E-01	-0.00267399	0.00236443	5446.22	11	0
gene_76	Cauchy	NA	0.258088	NA	NA	NA	NA	NA
gene_77	synonymous	0.5	4.948294E-02	0.00433302	0.00220576	4936.45	11	0
gene_77	Cauchy	NA	0.0494829	NA	NA	NA	NA	NA
gene_78	synonymous	0.5	7.612799E-01	0.000773932	0.0025475	5122.69	6	0
gene_78	Cauchy	NA	0.76128	NA	NA	NA	NA	NA
gene_79	synonymous	0.5	8.024644E-01	0.000532295	0.00212783	5779.87	12	0
gene_79	Cauchy	NA	0.802464	NA	NA	NA	NA	NA
gene_8	synonymous	0.5	1.128716E-01	-0.00253183	0.00159695	16514.2	18	0
gene_8	Cauchy	NA	0.112872	NA	NA	NA	NA	NA
gene_80	synonymous	0.5	8.430543E-01	-0.000478726	0.00241795	14620.2	15	0
gene_80	Cauchy	NA	0.843054	NA	NA	NA	NA	NA
gene_81	synonymous	0.5	7.371761E-01	0.000607383	0.00180987	7709.96	10	0
gene_81	Cauchy	NA	0.737176	NA	NA	NA	NA	NA
gene_82	synonymous	0.5	1.837882E-01	-0.00321855	0.00242145	7600.92	9	0
gene_82	Cauchy	NA	0.183788	NA	NA	NA	NA	NA
gene_83	synonymous	0.5	8.418234E-01	0.000464567	0.00232794	10019.9	18	0
gene_83	Cauchy	NA	0.841823	NA	NA	NA	NA	NA
gene_84	synonymous	0.5	7.735236E-01	-0.000866058	0.00300956	2987.06	7	0
gene_84	Cauchy	NA	0.773524	NA	NA	NA	NA	NA
gene_85	synonymous	0.5	2.116220E-02	-0.00652913	0.0028325	8938.98	13	0
gene_85	Cauchy	NA	0.0211622	NA	NA	NA	NA	NA
gene_86	synonymous	0.5	4.329664E-01	-0.00306302	0.00390629	1932.4	5	0
gene_86	Cauchy	NA	0.432966	NA	NA	NA	NA	NA
gene_87	synonymous	0.5	7.605897E-01	-0.000913958	0.00299947	4232.5	8	0
gene_87	Cauchy	NA	0.76059	NA	NA	NA	NA	NA
gene_88	synonymous	0.5	6.864672E-01	0.000862962	0.00213788	14346.6	17	0
gene_88	Cauchy	NA	0.686467	NA	NA	NA	NA	NA
gene_89	synonymous	0.5	7.598401E-01	-0.000676982	0.0022146	7661.08	14	0
gene_89	Cauchy	NA	0.75984	NA	NA	NA	NA	NA
gene_9	synonymous	0.5	3.329315E-01	-0.00160037	0.00165289	9328.41	17	0
gene_9	Cauchy	NA	0.332931	NA	NA	NA	NA	NA
gene_90	synonymous	0.5	3.549687E-01	-0.00239603	0.00259032	7722.05	10	0
gene_90	Cauchy	NA	0.354969	NA	NA	NA	NA	NA
gene_91	synonymous	0.5	8.463954E-01	0.000338654	0.00174816	10801.9	23	0
gene_91	Cauchy	NA	0.846395	NA	NA	NA	NA	NA
gene_92	synonymous	0.5	4.293865E-01	0.0026538	0.00335821	4570.88	11	0
gene_92	Cauchy	NA	0.429387	NA	NA	NA	NA	NA
gene_93	synonymous	0.5	6.871100E-01	0.000631736	0.00156844	10537.6	12	0
gene_93	Cauchy	NA	0.68711	NA	NA	NA	NA	NA
gene_94	synonymous	0.5	6.039988E-01	-0.00160596	0.00309636	6099.52	10	0
gene_94	Cauchy	NA	0.603999	NA	NA	NA	NA	NA
gene_95	synonymous	0.5	2.824669E-01	-0.00195666	0.0018205	8262.45	12	0
gene_95	Cauchy	NA	0.282467	NA	NA	NA	NA	NA
gene_96	synonymous	0.5	6.842163E-01	0.0012405	0.00305003	5750.47	13	0
gene_96	Cauchy	NA	0.684216	NA	NA	NA	NA	NA
gene_97	synonymous	0.5	4.932108E-01	-0.00144786	0.00211302	5057.02	10	0
gene_97	Cauchy	NA	0.493211	NA	NA	NA	NA	NA
gene_98	synonymous	0.5	4.631299E-03	-0.00914362	0.00322911	4548.55	10	0
gene_98	Cauchy	NA	0.0046313	NA	NA	NA	NA	NA
gene_99	synonymous	0.5	6.910505E-01	-0.001312	0.00330121	4884.79	11	0
gene_99	Cauchy	NA	0.691051	NA	NA	NA	NA	NA
