Region	Group	max_MAF	Pvalue_Burden	BETA_Burden	SE_Burden	MAC	Number_rare	Number_ultra_rare
gene_30	synonymous	0.5	2.640351E-01	-0.000678778	0.000607731	142913	138	62
gene_30	Cauchy	NA	0.264035	NA	NA	NA	NA	NA
gene_31	synonymous	0.5	3.572940E-01	-0.000603387	0.000655475	171209	140	59
gene_31	Cauchy	NA	0.357294	NA	NA	NA	NA	NA
gene_32	synonymous	0.5	7.165345E-02	-0.000850976	0.00047242	175785	149	51
gene_32	Cauchy	NA	0.0716535	NA	NA	NA	NA	NA
gene_33	synonymous	0.5	8.647923E-01	0.000110407	0.000648394	155303	137	62
gene_33	Cauchy	NA	0.864792	NA	NA	NA	NA	NA
gene_34	synonymous	0.5	6.293141E-01	0.00030463	0.000631107	178786	143	56
gene_34	Cauchy	NA	0.629314	NA	NA	NA	NA	NA
gene_35	synonymous	0.5	7.740062E-01	0.000153273	0.000533795	162861	148	52
gene_35	Cauchy	NA	0.774006	NA	NA	NA	NA	NA
gene_36	synonymous	0.5	1.653565E-01	-0.000751619	0.000541793	184168	138	61
gene_36	Cauchy	NA	0.165357	NA	NA	NA	NA	NA
gene_37	synonymous	0.5	6.855448E-01	-0.000222399	0.000549258	124406	138	62
gene_37	Cauchy	NA	0.685545	NA	NA	NA	NA	NA
gene_38	synonymous	0.5	4.913200E-02	0.00112698	0.000572816	174384	141	59
gene_38	Cauchy	NA	0.049132	NA	NA	NA	NA	NA
gene_39	synonymous	0.5	5.404019E-01	0.000304965	0.000498141	123440	131	69
gene_39	Cauchy	NA	0.540402	NA	NA	NA	NA	NA
gene_4	synonymous	0.5	6.319992E-02	0.000888906	0.000478477	152264	136	64
gene_4	Cauchy	NA	0.0631999	NA	NA	NA	NA	NA
gene_40	synonymous	0.5	3.475821E-01	-0.000584845	0.000622646	125874	135	64
gene_40	Cauchy	NA	0.347582	NA	NA	NA	NA	NA
gene_41	synonymous	0.5	2.981234E-01	-0.000532998	0.000512268	151225	138	61
gene_41	Cauchy	NA	0.298123	NA	NA	NA	NA	NA
gene_42	synonymous	0.5	9.195227E-01	-5.97405e-05	0.000591285	114505	137	63
gene_42	Cauchy	NA	0.919523	NA	NA	NA	NA	NA
gene_43	synonymous	0.5	9.133201E-01	-5.64934e-05	0.000518994	146256	143	57
gene_43	Cauchy	NA	0.91332	NA	NA	NA	NA	NA
gene_44	pLoF	0.5	3.428161E-01	-0.00511482	0.00539188	394	1	0
gene_44	synonymous	0.5	3.497246E-01	-0.000465301	0.000497582	139244	145	54
gene_44	Cauchy	NA	0.346251	NA	NA	NA	NA	NA
gene_45	pLoF	0.5	7.379148E-01	0.00185857	0.00555434	411	1	0
gene_45	synonymous	0.5	7.259446E-01	0.000167267	0.00047719	152130	136	63
gene_45	Cauchy	NA	0.73203	NA	NA	NA	NA	NA
gene_46	synonymous	0.5	4.564368E-01	0.000419699	0.000563561	150722	147	52
gene_46	Cauchy	NA	0.456437	NA	NA	NA	NA	NA
gene_47	synonymous	0.5	4.072398E-01	-0.00049776	0.000600607	141337	134	66
gene_47	Cauchy	NA	0.40724	NA	NA	NA	NA	NA
gene_48	synonymous	0.5	5.174427E-01	0.000348426	0.000538283	150082	139	60
gene_48	Cauchy	NA	0.517443	NA	NA	NA	NA	NA
gene_49	synonymous	0.5	9.672794E-01	2.52909e-05	0.00061654	117465	130	69
gene_49	Cauchy	NA	0.967279	NA	NA	NA	NA	NA
gene_5	synonymous	0.5	4.064942E-01	-0.000430235	0.000518306	110770	130	70
gene_5	Cauchy	NA	0.406494	NA	NA	NA	NA	NA
gene_50	synonymous	0.5	2.484441E-01	-0.000507055	0.000439337	157078	155	45
gene_50	Cauchy	NA	0.248444	NA	NA	NA	NA	NA
gene_51	synonymous	0.5	3.203930E-01	-0.00051023	0.00051349	121774	131	68
gene_51	Cauchy	NA	0.320393	NA	NA	NA	NA	NA
gene_52	synonymous	0.5	5.694234E-01	0.000298057	0.000523918	141887	141	59
gene_52	Cauchy	NA	0.569423	NA	NA	NA	NA	NA
gene_53	pLoF	0.5	4.498919E-01	0.00365105	0.00483201	305	1	0
gene_53	synonymous	0.5	5.166198E-01	0.000369191	0.000569243	144787	138	61
gene_53	Cauchy	NA	0.48307	NA	NA	NA	NA	NA
gene_54	synonymous	0.5	8.527653E-01	0.000117885	0.000635184	183589	147	53
gene_54	Cauchy	NA	0.852765	NA	NA	NA	NA	NA
gene_55	synonymous	0.5	8.451163E-01	-0.000100772	0.000515843	136740	147	53
gene_55	Cauchy	NA	0.845116	NA	NA	NA	NA	NA
gene_56	synonymous	0.5	2.393791E-01	0.000627143	0.00053304	143062	151	49
gene_56	Cauchy	NA	0.239379	NA	NA	NA	NA	NA
gene_57	synonymous	0.5	2.629049E-01	-0.000697672	0.000623171	167196	135	63
gene_57	Cauchy	NA	0.262905	NA	NA	NA	NA	NA
gene_58	synonymous	0.5	1.494952E-01	-0.000725364	0.000503265	126338	135	65
gene_58	Cauchy	NA	0.149495	NA	NA	NA	NA	NA
gene_59	synonymous	0.5	4.105172E-01	-0.00047528	0.000577508	172952	142	58
gene_59	Cauchy	NA	0.410517	NA	NA	NA	NA	NA
gene_6	synonymous	0.5	9.260201E-01	-5.79644e-05	0.000624257	148687	135	65
gene_6	Cauchy	NA	0.92602	NA	NA	NA	NA	NA
gene_60	synonymous	0.5	8.035802E-01	-0.000133141	0.000535312	193672	160	40
gene_60	Cauchy	NA	0.80358	NA	NA	NA	NA	NA
gene_61	synonymous	0.5	8.245221E-02	-0.000885817	0.000510077	105889	137	63
gene_61	Cauchy	NA	0.0824522	NA	NA	NA	NA	NA
gene_62	synonymous	0.5	2.394630E-01	-0.000669168	0.000568861	129541	142	58
gene_62	Cauchy	NA	0.239463	NA	NA	NA	NA	NA
gene_63	synonymous	0.5	1.995808E-01	0.000663312	0.000517103	144786	145	55
gene_63	Cauchy	NA	0.199581	NA	NA	NA	NA	NA
gene_64	synonymous	0.5	9.611152E-01	3.03817e-05	0.000623162	151803	144	56
gene_64	Cauchy	NA	0.961115	NA	NA	NA	NA	NA
gene_65	synonymous	0.5	5.320246E-03	-0.00145045	0.000520439	150529	139	59
gene_65	Cauchy	NA	0.00532025	NA	NA	NA	NA	NA
gene_66	synonymous	0.5	8.628310E-01	-7.61575e-05	0.000440799	146231	152	48
gene_66	Cauchy	NA	0.862831	NA	NA	NA	NA	NA
gene_67	synonymous	0.5	2.952384E-02	-0.00125797	0.000577998	148727	139	61
gene_67	Cauchy	NA	0.0295238	NA	NA	NA	NA	NA
gene_68	synonymous	0.5	1.371017E-02	-0.00156586	0.000635297	135058	129	71
gene_68	Cauchy	NA	0.0137102	NA	NA	NA	NA	NA
gene_69	synonymous	0.5	8.433210E-01	-0.000112063	0.000566985	135909	148	52
gene_69	Cauchy	NA	0.843321	NA	NA	NA	NA	NA
gene_7	synonymous	0.5	2.899054E-01	0.000587452	0.000555075	158244	137	63
gene_7	Cauchy	NA	0.289905	NA	NA	NA	NA	NA
gene_70	pLoF	0.5	7.964903E-05	0.0225115	0.00570568	436	1	0
gene_70	synonymous	0.5	6.099773E-02	0.000979603	0.00052287	143291	138	61
gene_70	Cauchy	NA	0.000159093	NA	NA	NA	NA	NA
gene_71	synonymous	0.5	1.487696E-01	-0.000790225	0.000547288	118820	132	67
gene_71	Cauchy	NA	0.14877	NA	NA	NA	NA	NA
gene_72	synonymous	0.5	8.778088E-01	-8.46981e-05	0.000550891	136701	137	63
gene_72	Cauchy	NA	0.877809	NA	NA	NA	NA	NA
gene_73	synonymous	0.5	6.311568E-01	-0.000275668	0.000574189	165400	144	55
gene_73	Cauchy	NA	0.631157	NA	NA	NA	NA	NA
gene_74	synonymous	0.5	3.081066E-01	-0.000560673	0.000550109	173397	133	67
gene_74	Cauchy	NA	0.308107	NA	NA	NA	NA	NA
gene_75	synonymous	0.5	6.149056E-01	0.000272053	0.000540771	174252	143	56
gene_75	Cauchy	NA	0.614906	NA	NA	NA	NA	NA
gene_76	synonymous	0.5	9.372784E-01	-4.35978e-05	0.000554037	144953	142	58
gene_76	Cauchy	NA	0.937278	NA	NA	NA	NA	NA
gene_77	synonymous	0.5	3.738219E-01	0.000526114	0.000591579	130656	144	56
gene_77	Cauchy	NA	0.373822	NA	NA	NA	NA	NA
gene_78	synonymous	0.5	2.079756E-01	0.000793715	0.000630357	141958	135	65
gene_78	Cauchy	NA	0.207976	NA	NA	NA	NA	NA
gene_79	synonymous	0.5	5.729611E-01	0.000308621	0.000547495	150477	145	55
gene_79	Cauchy	NA	0.572961	NA	NA	NA	NA	NA
gene_8	synonymous	0.5	9.192862E-01	5.46167e-05	0.000538983	147975	142	58
gene_8	Cauchy	NA	0.919286	NA	NA	NA	NA	NA
gene_80	synonymous	0.5	5.197002E-01	-0.000337804	0.000524697	138745	140	60
gene_80	Cauchy	NA	0.5197	NA	NA	NA	NA	NA
gene_81	synonymous	0.5	2.333702E-01	0.000720716	0.000604769	127270	127	73
gene_81	Cauchy	NA	0.23337	NA	NA	NA	NA	NA
gene_82	synonymous	0.5	6.900878E-01	0.000272989	0.000684637	150931	139	61
gene_82	Cauchy	NA	0.690088	NA	NA	NA	NA	NA
gene_83	pLoF	0.5	9.974120E-01	-1.6823e-05	0.00518648	424	1	0
gene_83	synonymous	0.5	4.190114E-01	0.000461993	0.000571676	190316	154	45
gene_83	Cauchy	NA	0.994813	NA	NA	NA	NA	NA
gene_84	synonymous	0.5	6.070053E-01	0.000305856	0.000594642	156328	133	66
gene_84	Cauchy	NA	0.607005	NA	NA	NA	NA	NA
gene_85	synonymous	0.5	8.592688E-01	0.000107592	0.000606821	141182	132	67
gene_85	Cauchy	NA	0.859269	NA	NA	NA	NA	NA
gene_86	synonymous	0.5	6.452866E-01	0.000281097	0.000610656	142027	137	63
gene_86	Cauchy	NA	0.645287	NA	NA	NA	NA	NA
gene_87	synonymous	0.5	6.693295E-01	0.000271097	0.000634785	173236	143	57
gene_87	Cauchy	NA	0.66933	NA	NA	NA	NA	NA
gene_88	synonymous	0.5	2.481928E-01	-0.000671032	0.000581106	171522	150	50
gene_88	Cauchy	NA	0.248193	NA	NA	NA	NA	NA
gene_89	synonymous	0.5	1.506011E-01	0.000682851	0.000475056	156701	136	64
gene_89	Cauchy	NA	0.150601	NA	NA	NA	NA	NA
gene_9	synonymous	0.5	6.654605E-01	0.000240899	0.000557138	150151	133	66
gene_9	Cauchy	NA	0.665461	NA	NA	NA	NA	NA
gene_90	synonymous	0.5	7.449213E-01	0.000180686	0.000555369	133708	149	51
gene_90	Cauchy	NA	0.744921	NA	NA	NA	NA	NA
gene_91	synonymous	0.5	6.284836E-01	0.000273099	0.000564415	183686	154	45
gene_91	Cauchy	NA	0.628484	NA	NA	NA	NA	NA
gene_92	synonymous	0.5	8.520964E-01	-0.000113739	0.000610044	147037	143	56
gene_92	Cauchy	NA	0.852096	NA	NA	NA	NA	NA
gene_93	synonymous	0.5	2.605404E-02	-0.0012321	0.000553651	149416	140	59
gene_93	Cauchy	NA	0.026054	NA	NA	NA	NA	NA
gene_94	synonymous	0.5	2.258721E-01	0.000727045	0.000600337	122988	147	53
gene_94	Cauchy	NA	0.225872	NA	NA	NA	NA	NA
gene_95	synonymous	0.5	9.971281E-01	-1.75843e-06	0.000488542	150456	151	46
gene_95	Cauchy	NA	0.997128	NA	NA	NA	NA	NA
gene_96	synonymous	0.5	3.645376E-01	0.000440041	0.000485293	167901	157	43
gene_96	Cauchy	NA	0.364538	NA	NA	NA	NA	NA
gene_97	synonymous	0.5	4.513438E-01	0.000432494	0.000574226	175080	146	53
gene_97	Cauchy	NA	0.451344	NA	NA	NA	NA	NA
gene_98	synonymous	0.5	6.184864E-01	0.000296439	0.000595264	176965	157	43
gene_98	Cauchy	NA	0.618486	NA	NA	NA	NA	NA
gene_99	synonymous	0.5	4.950863E-01	0.000386294	0.000566214	172770	153	46
gene_99	Cauchy	NA	0.495086	NA	NA	NA	NA	NA
